ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
I4551,Latvia,0.054,0.149,0.008,0.463,0.015,0.018,0.283,0.011,7671
I5405,Serbia,0.451,0,0.005,0.009,0.011,0.016,0.506,0.002,7684
I4626,Latvia,0.051,0.105,0.021,0.499,0.04,0.025,0.259,0,7689
I1507,Hungary,0,0,0,1,0,0,0,0,7698
I1671,Iran,0,0,1,0,0,0,0,0,7698
I3498,Croatia,0.496,0.001,0,0.001,0.013,0.029,0.436,0.025,7698
I1878,Hungary,0.425,0.005,0,0.042,0.004,0.02,0.495,0.01,7700
I2373,Hungary,0.437,0,0.009,0.059,0.012,0.04,0.434,0.01,7700
I4878,Serbia,0.054,0.065,0.005,0.52,0.012,0.013,0.321,0.009,7803
I0676,Macedonia,0.437,0.015,0.001,0.006,0.013,0.027,0.501,0.002,7807
I4880,Serbia,0.062,0.075,0.005,0.492,0.039,0.011,0.305,0.01,7813
I3433,Croatia,0.466,0.016,0,0.019,0.001,0.021,0.473,0.003,7814
I0585,Spain,0.015,0.004,0.004,0.648,0.013,0.027,0.259,0.031,7815
I3947,Croatia,0.463,0.01,0.005,0.019,0.006,0.023,0.467,0.007,7836
I3948,Croatia,0.488,0,0,0.013,0.015,0.019,0.455,0.01,7860
I0723,Turkey,0.688,0,0,0.009,0,0.007,0.288,0.008,7870
I4873,Serbia,0.057,0.074,0,0.522,0.028,0.016,0.302,0.002,7872
I5427,Greece,0.474,0.028,0,0.013,0.01,0.021,0.442,0.011,7892
I0698,Bulgaria,0.501,0.034,0.002,0.017,0,0.023,0.419,0.003,7900
I5232,Serbia,0.261,0.049,0.003,0.248,0.01,0.021,0.405,0.003,7901
I0706,Bulgaria,0.395,0.028,0,0.088,0.004,0.025,0.451,0.009,7905
I4432,Latvia,0.038,0.122,0,0.508,0.021,0.013,0.289,0.009,7948
I0724,Turkey,0.665,0.06,0,0,0,0.008,0.259,0.008,7950
I0726,Turkey,0.714,0,0,0,0,0.01,0.276,0,7950
I0727,Turkey,0.653,0.002,0,0,0.012,0,0.323,0.01,7950
I2534,Romania,0.072,0.169,0.008,0.459,0.031,0.018,0.244,0,7973
I4596,Latvia,0.039,0.104,0.011,0.496,0,0.014,0.317,0.019,7976
I4882,Serbia,0.052,0.074,0,0.498,0.022,0.014,0.333,0.006,8000
I5233,Serbia,0.046,0.073,0.008,0.489,0.015,0.015,0.346,0.009,8001
Loschbour,Luxembourg,0,0,0,0.679,0,0,0.317,0.003,8055
I4917,Serbia,0.057,0.086,0,0.502,0.017,0.013,0.31,0.013,8058
I0708,Turkey,1,0,0,0,0,0,0,0,8097
I1736,Ukraine,0.049,0.251,0.011,0.403,0.004,0.014,0.247,0.022,8109
I5885,Ukraine,0.077,0.229,0.006,0.432,0.022,0.022,0.213,0,8110
I4915,Serbia,0.076,0.085,0.01,0.493,0.003,0.02,0.307,0.006,8115
I4914,Serbia,0.042,0.059,0.005,0.498,0.012,0.018,0.359,0.008,8123
I5402,Serbia,0.049,0.07,0,0.48,0.008,0.01,0.369,0.014,8156
Bar31,Turkey,0.376,0.033,0.001,0.015,0.009,0.055,0.497,0.013,8175
Bar8,Turkey,0.396,0.022,0.004,0.02,0.014,0.047,0.478,0.02,8175
I1580,Turkey,0.598,0.02,0,0.013,0.005,0.018,0.339,0.007,8195
Tep006,Turkey,0.344,0.014,0.02,0.005,0.009,0.056,0.527,0.025,8230
I0745,Turkey,1,0,0,0,0,0,0,0,8251
I1581,Turkey,0.643,0.013,0,0.01,0.003,0.021,0.309,0,8254
I0744,Turkey,0.596,0.019,0,0.002,0.001,0.013,0.359,0.01,8273
I1583,Turkey,0.579,0.025,0.002,0.008,0.011,0.017,0.353,0.005,8281
Spiginas4,Lithuania,0.061,0.06,0.005,0.526,0.012,0.024,0.306,0.007,8285
I1097,Turkey,0.625,0.025,0,0.012,0.009,0.013,0.299,0.017,8288
Tep004,Turkey,0.368,0.02,0,0,0.013,0.062,0.508,0.029,8295
I0707,Turkey,0.822,0.003,0,0,0,0.002,0.174,0,8300
I0709,Turkey,0.576,0.009,0,0.013,0.008,0.015,0.376,0.005,8300
I0736,Turkey,0.598,0.02,0,0.009,0,0.011,0.355,0.006,8300
I0746,Turkey,0.616,0.035,0,0,0,0.01,0.328,0.01,8300
I0854,Turkey,0.514,0.019,0,0.02,0.019,0.02,0.409,0,8300
I1096,Turkey,0.768,0,0,0.011,0.009,0.002,0.209,0.001,8300
I1098,Turkey,1,0,0,0,0,0,0,0,8300
I1099,Turkey,0.803,0.016,0,0.01,0.007,0.004,0.16,0,8300
I1100,Turkey,0.81,0.034,0,0.01,0,0.004,0.138,0.004,8300
I1101,Turkey,0.722,0.013,0,0.022,0.009,0.013,0.221,0,8300
I1102,Turkey,0.718,0,0,0.013,0.017,0.015,0.237,0,8300
I1103,Turkey,0.962,0,0,0.005,0,0,0.033,0,8300
I1579,Turkey,0.654,0.014,0,0.024,0.007,0.017,0.283,0,8300
I1585,Turkey,0.721,0.021,0,0.007,0.003,0.012,0.236,0,8300
Rev5,Greece,0.376,0.012,0.003,0.013,0,0.059,0.521,0.016,8301
I4632,Latvia,0.036,0.114,0,0.485,0.02,0.008,0.325,0.012,8308
